"@timestamp","netflow.exporter.ip","network.transport","source.ip","source.port","destination.ip","destination.port","network.bytes","network.packets"
"2022-04-13 09:18:49.242Z","192.168.186.128",tcp,"192.168.186.93",60737,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.241Z","192.168.186.128",tcp,"192.168.186.93",60736,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.240Z","192.168.186.128",tcp,"192.168.186.93",60734,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.240Z","192.168.186.128",tcp,"192.168.186.93",60735,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.239Z","192.168.186.128",tcp,"192.168.186.93",60733,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.238Z","192.168.186.128",tcp,"192.168.186.93",60732,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.237Z","192.168.186.128",tcp,"192.168.186.93",60731,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.235Z","192.168.186.128",tcp,"192.168.186.93",60729,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.235Z","192.168.186.128",tcp,"192.168.186.93",60730,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.233Z","192.168.186.128",tcp,"192.168.186.93",60728,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.233Z","192.168.186.128",tcp,"192.168.186.93",60727,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.232Z","192.168.186.128",tcp,"192.168.186.93",60726,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.231Z","192.168.186.128",tcp,"192.168.186.93",60725,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.230Z","192.168.186.128",tcp,"192.168.186.93",60724,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.230Z","192.168.186.128",tcp,"192.168.186.93",60723,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.229Z","192.168.186.128",tcp,"192.168.186.93",60722,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.229Z","192.168.186.128",tcp,"192.168.186.93",60721,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.228Z","192.168.186.128",tcp,"192.168.186.93",60720,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.227Z","192.168.186.128",tcp,"192.168.186.93",60718,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.227Z","192.168.186.128",tcp,"192.168.186.93",60719,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.226Z","192.168.186.128",tcp,"192.168.186.93",60717,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.225Z","192.168.186.128",tcp,"192.168.186.93",60716,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.224Z","192.168.186.128",tcp,"192.168.186.93",60715,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.223Z","192.168.186.128",tcp,"192.168.186.93",60714,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.222Z","192.168.186.128",tcp,"192.168.186.93",60713,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.222Z","192.168.186.128",tcp,"192.168.186.93",60712,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.221Z","192.168.186.128",tcp,"192.168.186.93",60710,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.221Z","192.168.186.128",tcp,"192.168.186.93",60711,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.220Z","192.168.186.128",tcp,"192.168.186.93",60709,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.220Z","192.168.186.128",tcp,"192.168.186.93",60707,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.219Z","192.168.186.128",tcp,"192.168.186.93",60708,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.218Z","192.168.186.128",tcp,"192.168.186.93",60706,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.217Z","192.168.186.128",tcp,"192.168.186.93",60703,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.217Z","192.168.186.128",tcp,"192.168.186.93",60705,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.217Z","192.168.186.128",tcp,"192.168.186.93",60704,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.216Z","192.168.186.128",tcp,"192.168.186.93",60702,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.215Z","192.168.186.128",tcp,"192.168.186.93",60701,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.214Z","192.168.186.128",tcp,"192.168.186.93",60700,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.214Z","192.168.186.128",tcp,"192.168.186.93",60699,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.187Z","192.168.186.128",tcp,"192.168.186.93",60698,"192.168.186.129",80,40,1
"2022-04-13 09:18:48.891Z","192.168.186.128",tcp,"192.168.186.93",60697,"192.168.186.129",80,40,1
"2022-04-13 09:18:48.749Z","192.168.186.128",tcp,"192.168.186.93",60696,"192.168.186.129",80,40,1
"2022-04-13 09:18:48.668Z","192.168.186.128",tcp,"192.168.186.93",60695,"192.168.186.129",80,40,1
"2022-04-13 09:18:48.539Z","192.168.186.128",tcp,"192.168.186.93",60694,"192.168.186.129",80,40,1
"2022-04-13 09:18:48.413Z","192.168.186.128",tcp,"192.168.186.93",60693,"192.168.186.129",80,40,1
"2022-04-13 09:18:48.382Z","192.168.186.128",tcp,"192.168.186.93",60692,"192.168.186.129",80,40,1
"2022-04-13 09:18:48.355Z","192.168.186.128",tcp,"192.168.186.93",60691,"192.168.186.129",80,40,1
"2022-04-13 09:18:48.313Z","192.168.186.128",tcp,"192.168.186.93",60690,"192.168.186.129",80,40,1
"2022-04-13 09:18:48.200Z","192.168.186.128",tcp,"192.168.186.93",60689,"192.168.186.129",80,40,1
"2022-04-13 09:18:48.134Z","192.168.186.128",tcp,"192.168.186.93",60688,"192.168.186.129",80,40,1
"2022-04-13 09:18:48.042Z","192.168.186.128",tcp,"192.168.186.93",60687,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.929Z","192.168.186.128",tcp,"192.168.186.93",60686,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.757Z","192.168.186.128",tcp,"192.168.186.93",60685,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.733Z","192.168.186.128",tcp,"192.168.186.93",60684,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.588Z","192.168.186.128",tcp,"192.168.186.93",60683,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.534Z","192.168.186.128",tcp,"192.168.186.93",60682,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.489Z","192.168.186.128",tcp,"192.168.186.93",60681,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.446Z","192.168.186.128",tcp,"192.168.186.93",60680,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.397Z","192.168.186.128",tcp,"192.168.186.93",60679,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.391Z","192.168.186.128",tcp,"192.168.186.93",60678,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.388Z","192.168.186.128",tcp,"192.168.186.93",60677,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.387Z","192.168.186.128",tcp,"192.168.186.93",60676,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.386Z","192.168.186.128",tcp,"192.168.186.93",60675,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.385Z","192.168.186.128",tcp,"192.168.186.93",60674,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.382Z","192.168.186.128",tcp,"192.168.186.93",60673,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.377Z","192.168.186.128",tcp,"192.168.186.93",60670,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.377Z","192.168.186.128",tcp,"192.168.186.93",60672,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.376Z","192.168.186.128",tcp,"192.168.186.93",60671,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.375Z","192.168.186.128",tcp,"192.168.186.93",60669,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.373Z","192.168.186.128",tcp,"192.168.186.93",60668,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.373Z","192.168.186.128",tcp,"192.168.186.93",60667,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.372Z","192.168.186.128",tcp,"192.168.186.93",60666,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.371Z","192.168.186.128",tcp,"192.168.186.93",60665,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.370Z","192.168.186.128",tcp,"192.168.186.93",60663,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.370Z","192.168.186.128",tcp,"192.168.186.93",60664,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.369Z","192.168.186.128",tcp,"192.168.186.93",60662,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.368Z","192.168.186.128",tcp,"192.168.186.93",60661,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.367Z","192.168.186.128",tcp,"192.168.186.93",60660,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.364Z","192.168.186.128",tcp,"192.168.186.93",60659,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.361Z","192.168.186.128",tcp,"192.168.186.93",60658,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.355Z","192.168.186.128",tcp,"192.168.186.93",60657,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.354Z","192.168.186.128",tcp,"192.168.186.93",60656,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.353Z","192.168.186.128",tcp,"192.168.186.93",60655,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.352Z","192.168.186.128",tcp,"192.168.186.93",60654,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.351Z","192.168.186.128",tcp,"192.168.186.93",60653,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.350Z","192.168.186.128",tcp,"192.168.186.93",60652,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.349Z","192.168.186.128",tcp,"192.168.186.93",60650,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.349Z","192.168.186.128",tcp,"192.168.186.93",60651,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.063Z","192.168.186.128",tcp,"192.168.186.93",60633,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.063Z","192.168.186.128",tcp,"192.168.186.93",60634,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.055Z","192.168.186.128",tcp,"192.168.186.93",60632,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.053Z","192.168.186.128",tcp,"192.168.186.93",60631,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.050Z","192.168.186.128",tcp,"192.168.186.93",60630,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.050Z","192.168.186.128",tcp,"192.168.186.93",60629,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.049Z","192.168.186.128",tcp,"192.168.186.93",60628,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.042Z","192.168.186.128",tcp,"192.168.186.93",60627,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.041Z","192.168.186.128",tcp,"192.168.186.93",60626,"192.168.186.129",80,40,1
"2022-04-13 09:18:47.030Z","192.168.186.128",tcp,"192.168.186.93",60625,"192.168.186.129",80,40,1
"2022-04-13 09:18:46.985Z","192.168.186.128",tcp,"192.168.186.93",60624,"192.168.186.129",80,40,1
